claim_amount_chf,days_since_policy_start,prior_claims_count,documentation_completeness_score,canton_risk_index,is_high_risk
930.0,553,1,0.3869299539060668,0.9653678096578695,1
211.88,801,0,0.80705561695937,0.37512704811018815,0
1518.53,731,0,0.5932907159960988,0.08797027599382479,0
1871.74,1180,1,0.3211047098239816,0.04765230386150865,0
77.78,783,1,0.7700815800756283,0.8334452343920059,0
158.79,2157,2,0.4712403320573595,0.38349062260755307,0
765.57,542,2,0.7483948617953065,0.8602737888398567,1
469.72,2269,0,0.9261844261865526,0.4587351898885439,0
652.96,1220,1,0.7711419855813892,0.011173603200106963,0
260.25,2506,0,0.7777817268828712,0.5286484062691404,0
1749.94,1872,0,0.7253519269273861,0.5945461873811996,0
1564.89,3304,1,0.7468793270449348,0.45150887552853436,0
715.25,1606,1,0.7107286251985615,0.838034278705194,0
2298.39,1077,0,0.8729844408864338,0.6440081587340292,0
1112.38,2150,1,0.7878001926627111,0.36473923633451977,0
258.47,2404,0,0.6772896765876788,0.7190023880369281,0
997.87,1603,0,0.7807800563255268,0.3196134369203022,0
231.65,2043,1,0.56301469861605,0.8385476353408735,0
1748.12,1719,0,0.8961290485121274,0.2801037046715166,0
629.6,1117,0,0.39485203474370134,0.6666110787636046,0
542.75,1145,0,0.7770371812684046,0.4150920424672335,0
314.5,3312,0,0.6976891842012078,0.10118327594656584,0
2552.42,2465,0,0.8386057152907344,0.6297047642140985,0
561.17,349,0,0.6907698055167288,0.3830538057844064,0
415.23,3511,0,0.46703046358403677,0.6342633980088629,0
451.54,2599,1,0.7071535766071966,0.5399035799116874,0
1194.57,184,0,0.6152809096686712,0.041595124893779256,0
994.25,2657,0,0.8045051723380382,0.20497828334174084,0
1047.34,2152,0,0.8095149179792043,0.70042108267938,0
1068.38,3341,1,0.6528686684630294,0.4676558366632191,1
7015.04,1786,0,0.8090961613677332,0.46646941132342445,1
425.36,1893,0,0.9030381239925211,0.0023986001913645083,0
378.62,1149,0,0.5046729081928071,0.30279819729393687,0
271.74,1174,0,0.9058272466499766,0.6694659632043591,0
1309.73,2255,0,0.8658562096069492,0.8869880889996629,0
2302.77,3021,1,0.6999203580261839,0.5740070650405987,0
